geo_point_2d;geo_shape;objid;id_entsorg;kategorie;name;beschreibu;adresse;plz;ortschaft;telefon;www_link;oeffnungsz;zustaendig
47.5707110359, 7.63306807899;"{""type"": ""Point"", ""coordinates"": [7.633068078987567, 47.57071103593086]}";268;17003;Verkauf Vignette Riehen und Bettingen;Coop, Filiale Rauracher;Verkauf von Kehricht-, Container- und Speergutmarken für Riehen und Bettingen;Rauracherstrasse 33;4125;Riehen;;http://www.coop.ch/de.html;;Gemeinde Riehen
47.5756553477, 7.634926221;"{""type"": ""Point"", ""coordinates"": [7.634926221001607, 47.57565534766895]}";269;17004;Verkauf Vignette Riehen und Bettingen;Coop Pronto Shop;Verkauf von Kehricht-, Container- und Speergutmarken für Riehen und Bettingen;Aeussere Baselstrasse 263;4125;Riehen;;http://www.coop.ch/de.html;;Gemeinde Riehen
47.5849336355, 7.65083570022;"{""type"": ""Point"", ""coordinates"": [7.65083570022127, 47.58493363550952]}";270;17001;Verkauf Vignette Riehen und Bettingen;Coop, Filiale Schmiedgasse;Verkauf von Kehricht-, Container- und Speergutmarken für Riehen und Bettingen;Schmiedgasse 7/9;4125;Riehen;;http://www.coop.ch/de.html;;Gemeinde Riehen
47.5845606906, 7.64993361206;"{""type"": ""Point"", ""coordinates"": [7.649933612055777, 47.58456069062825]}";271;17005;Verkauf Vignette Riehen und Bettingen;Wenk Haushalt Center;Verkauf von Kehricht-, Container- und Speergutmarken für Riehen und Bettingen;Baselstrasse 46;4125;Riehen;;;;Gemeinde Riehen
47.5727024428, 7.62506415146;"{""type"": ""Point"", ""coordinates"": [7.625064151464047, 47.5727024428063]}";275;17014;Verkauf Vignette Riehen und Bettingen;FGV Spitalmatten;Verkauf von Kehricht-, Container- und Speergutmarken für Riehen und Bettingen;Aeussere Baselstrasse 300;4125;Riehen;;http://www.fgv-spitalmatten.ch;;Gemeinde Riehen
47.5288152819, 7.656060237;"{""type"": ""Point"", ""coordinates"": [7.656060236996793, 47.5288152819424]}";276;17013;Verkauf Vignette Riehen und Bettingen;Baumaterial Späth AG;Verkauf von Kehricht-, Container- und Speergutmarken für Riehen und Bettingen;Falkensteinerstrasse 13;4132;Muttenz;+41 (0) 61 641 13 51;https://www.späth.ch/;;Gemeinde Riehen
47.5755084188, 7.64676641728;"{""type"": ""Point"", ""coordinates"": [7.646766417282831, 47.57550841881116]}";279;17007;Verkauf Vignette Riehen und Bettingen;Migros Partner M;Verkauf von Kehricht-, Container- und Speergutmarken für Riehen und Bettingen;Grenzacherweg 81;4125;Riehen;;https://www.migros.ch/de.html;;Gemeinde Riehen
47.55489832, 7.61273929296;"{""type"": ""Point"", ""coordinates"": [7.612739292962966, 47.554898320042724]}";7;3031;Brauchbare Dinge;Kleiderkiste Breit GmbH;Frauen und Kinderkleider;Homburgerstrasse 42;4052;Basel;+41 (0) 61 311 83 11;;;Amt für Umwelt und Energie Basel-Stadt
47.542448958, 7.59550077372;"{""type"": ""Point"", ""coordinates"": [7.595500773719061, 47.54244895796968]}";16;3022;Brauchbare Dinge;Wizo Gruppe Basel;Second Hand Shop / Möbelladen;Güterstrasse 218;4053;Basel;+41 (0) 61 361 25 33;;;Amt für Umwelt und Energie Basel-Stadt
47.5442777963, 7.5883863666;"{""type"": ""Point"", ""coordinates"": [7.588386366597235, 47.54427779631536]}";21;3017;Brauchbare Dinge;Zweifach;Secondhand Shop / Kleider und Velo;Sempacherstrasse 17;4053;Basel;+41 (0) 61 363 39 39;;;Amt für Umwelt und Energie Basel-Stadt
